Date,Value
2016-01-01,123623.0
2016-01-02,149038.0
2016-01-03,141064.0
2016-01-04,170176.0
2016-01-05,182371.0
2016-01-06,177478.0
2016-01-07,177873.0
2016-01-08,181407.0
2016-01-09,178374.0
2016-01-10,164687.0
2016-01-11,191196.0
2016-01-12,196656.0
2016-01-13,191628.0
2016-01-14,183182.0
2016-01-15,185105.0
2016-01-16,190301.0
2016-01-17,204128.0
2016-01-18,213934.0
2016-01-19,205735.0
2016-01-20,209071.0
2016-01-21,210240.0
2016-01-22,226106.0
2016-01-23,190400.0
2016-01-24,193572.0
2016-01-25,210592.0
2016-01-26,230523.0
2016-01-27,226385.0
2016-01-28,231454.0
2016-01-29,224394.0
2016-01-30,209984.0
2016-01-31,168625.0
2016-02-01,222398.0
2016-02-02,231998.0
2016-02-03,200087.0
2016-02-04,200661.0
2016-02-05,215910.0
2016-02-06,232752.0
2016-02-07,212190.0
2016-02-08,220559.0
2016-02-09,230799.0
2016-02-10,235527.0
2016-02-11,227463.0
2016-02-12,202906.0
2016-02-13,184675.0
2016-02-14,188927.0
2016-02-15,207397.0
2016-02-16,215940.0
2016-02-17,227403.0
2016-02-18,212765.0
2016-02-19,217436.0
2016-02-20,225259.0
2016-02-21,209276.0
2016-02-22,237696.0
2016-02-23,246578.0
2016-02-24,225112.0
2016-02-25,216290.0
2016-02-26,209880.0
2016-02-27,182423.0
2016-02-28,233436.0
2016-02-29,265695.0
2016-03-01,260619.0
2016-03-02,270206.0
2016-03-03,221257.0
2016-03-04,212104.0
2016-03-05,234992.0
2016-03-06,171486.0
2016-03-07,183530.0
2016-03-08,200298.0
2016-03-09,187623.0
2016-03-10,192611.0
2016-03-11,189816.0
2016-03-12,141116.0
2016-03-13,187401.0
2016-03-14,191341.0
2016-03-15,197677.0
2016-03-16,215973.0
2016-03-17,208319.0
2016-03-18,203578.0
2016-03-19,188863.0
2016-03-20,178143.0
2016-03-21,189228.0
2016-03-22,210488.0
2016-03-23,186808.0
2016-03-24,194985.0
2016-03-25,173609.0
2016-03-26,159049.0
2016-03-27,161486.0
2016-03-28,181300.0
2016-03-29,197409.0
2016-03-30,207906.0
2016-03-31,208976.0
2016-04-01,211922.0
2016-04-02,196651.0
2016-04-03,176722.0
2016-04-04,208929.0
2016-04-05,216684.0
2016-04-06,218585.0
2016-04-07,218463.0
2016-04-08,215441.0
2016-04-09,207555.0
2016-04-10,186954.0
2016-04-11,217378.0
2016-04-12,240200.0
2016-04-13,223506.0
2016-04-14,230281.0
2016-04-15,216850.0
2016-04-16,182004.0
2016-04-17,191478.0
2016-04-18,203165.0
2016-04-19,226511.0
2016-04-20,216780.0
2016-04-21,212795.0
2016-04-22,210976.0
2016-04-23,185216.0
2016-04-24,183155.0
2016-04-25,217564.0
2016-04-26,250744.0
2016-04-27,239435.0
2016-04-28,247957.0
2016-04-29,261884.0
2016-04-30,215712.0
2016-05-01,191430.0
2016-05-02,223785.0
2016-05-03,235609.0
2016-05-04,233691.0
2016-05-05,229580.0
2016-05-06,233232.0
2016-05-07,202062.0
2016-05-08,185562.0
2016-05-09,226451.0
2016-05-10,245721.0
2016-05-11,234412.0
2016-05-12,228409.0
2016-05-13,232146.0
2016-05-14,211280.0
2016-05-15,200171.0
2016-05-16,239809.0
2016-05-17,238626.0
2016-05-18,235084.0
2016-05-19,219145.0
2016-05-20,209396.0
2016-05-21,191461.0
2016-05-22,184348.0
2016-05-23,222755.0
2016-05-24,246517.0
2016-05-25,247841.0
2016-05-26,220093.0
2016-05-27,215296.0
2016-05-28,193054.0
2016-05-29,178742.0
2016-05-30,211369.0
2016-05-31,215249.0
2016-06-01,234385.0
2016-06-02,231099.0
2016-06-03,234669.0
2016-06-04,196665.0
2016-06-05,190528.0
2016-06-06,221171.0
2016-06-07,248576.0
2016-06-08,229933.0
2016-06-09,236353.0
2016-06-10,228367.0
2016-06-11,213159.0
2016-06-12,210711.0
2016-06-13,251354.0
2016-06-14,247632.0
2016-06-15,259202.0
2016-06-16,267870.0
2016-06-17,253752.0
2016-06-18,235317.0
