Date,Value
2016-01-01,58346264.6538702
2016-01-02,45906482.0
2016-01-03,51825525.0
2016-01-04,96276570.1913359
2016-01-05,90298235.0
2016-01-06,92674992.0
2016-01-07,162207621.394275
2016-01-08,121105566.0
2016-01-09,70372025.0
2016-01-10,94073291.3816097
2016-01-11,106830047.0
2016-01-12,99053316.0
2016-01-13,136318196.489126
2016-01-14,88360661.0
2016-01-15,127558283.0
2016-01-16,109411304.340177
2016-01-17,69422433.0
2016-01-18,73971077.0
2016-01-19,95862424.5752563
2016-01-20,128208178.0
2016-01-21,135289667.0
2016-01-22,134482253.931663
2016-01-23,109228485.0
2016-01-24,80026649.0
2016-01-25,191305654.019256
2016-01-26,124530436.0
2016-01-27,134666967.0
2016-01-28,142471030.875658
2016-01-29,147102840.0
2016-01-30,147357727.0
2016-01-31,103665933.111343
2016-02-01,150761429.0
2016-02-02,144577638.0
2016-02-03,115764017.96601
2016-02-04,121094475.0
2016-02-05,155714041.0
2016-02-06,116944573.366285
2016-02-07,79599219.0
2016-02-08,93311393.0
2016-02-09,124816846.664347
2016-02-10,129887155.0
2016-02-11,135127313.0
2016-02-12,124601290.486344
2016-02-13,119714883.0
2016-02-14,104891981.0
2016-02-15,176794468.588432
2016-02-16,150215514.0
2016-02-17,171220047.0
2016-02-18,163499274.485133
2016-02-19,134002007.0
2016-02-20,151924621.0
2016-02-21,155130149.064769
2016-02-22,142238677.0
2016-02-23,157192209.0
2016-02-24,166459833.649415
2016-02-25,150561021.0
2016-02-26,142870420.0
2016-02-27,159716131.267112
2016-02-28,146428747.0
2016-02-29,226500160.0
2016-03-01,280786700.504114
2016-03-02,236848413.0
2016-03-03,216563283.0
2016-03-04,177618220.523574
2016-03-05,200160841.0
2016-03-06,135654591.0
2016-03-07,145282392.78699
2016-03-08,120042367.0
2016-03-09,114428780.0
2016-03-10,139316581.780296
2016-03-11,137839767.0
2016-03-12,70582774.0
2016-03-13,88371198.5967914
2016-03-14,117684224.0
2016-03-15,117684224.0
2016-03-16,123888279.520397
2016-03-17,115249577.0
2016-03-18,121630357.0
2016-03-19,86792272.3163921
2016-03-20,70623066.0
2016-03-21,95667032.0
2016-03-22,132592024.246167
2016-03-23,111018758.0
2016-03-24,139400527.0
2016-03-25,134672579.091353
2016-03-26,100661549.0
2016-03-27,115335330.0
2016-03-28,140252685.928324
2016-03-29,117297491.0
2016-03-30,156573869.0
2016-03-31,140898124.328616
2016-04-01,120362457.0
2016-04-02,96731087.0
2016-04-03,88435716.0739488
2016-04-04,111607536.0
2016-04-05,139881431.0
2016-04-06,159685598.931054
2016-04-07,159074674.0
2016-04-08,123583371.0
2016-04-09,104520518.007936
2016-04-10,84161958.0
2016-04-11,111212456.0
2016-04-12,156860496.804597
2016-04-13,131626794.0
2016-04-14,116332488.0
2016-04-15,136158701.120764
2016-04-16,86155565.0
2016-04-17,79440650.0
2016-04-18,116994110.42223
2016-04-19,118542250.0
2016-04-20,138381943.03
2016-04-21,154376605.429112
2016-04-22,147227705.486
2016-04-23,100388767.668
2016-04-24,103550332.548332
2016-04-25,168025613.115
2016-04-26,170332016.496
2016-04-27,168934334.779151
2016-04-28,171720826.015
2016-04-29,200081325.409
2016-04-30,92579744.1214576
2016-05-01,85326421.8447
2016-05-02,143257803.931
2016-05-03,128092229.867241
2016-05-04,193746215.118
2016-05-05,129129621.373
2016-05-06,150035773.319432
2016-05-07,101572175.717
2016-05-08,72466700.7719
2016-05-09,138794017.510208
2016-05-10,153374229.552
2016-05-11,143001664.207
2016-05-12,149854665.866916
2016-05-13,139340132.889
2016-05-14,103526313.047
2016-05-15,99104765.0213349
2016-05-16,138501762.632
2016-05-17,144340458.957
2016-05-18,159373784.448942
2016-05-19,161110261.373
2016-05-20,155269360.777
2016-05-21,105043285.909485
2016-05-22,84832969.4866
2016-05-23,127147867.79
2016-05-24,147794302.053499
2016-05-25,171807424.322
2016-05-26,166731059.546
2016-05-27,300392313.16427
2016-05-28,259939042.623
2016-05-29,207196704.965
2016-05-30,241119804.228294
2016-05-31,220052229.094
2016-06-01,194100011.17
2016-06-02,194112539.742197
2016-06-03,162425728.921
2016-06-04,134268325.307
